Nama,Deskripsi,Bahan,"Tags (makanan, minuman, camilan)","Tags (manis, gurih, asin, pedas, pahit)",Kalori (100g),Gula(g),Lemak(g),Karbohidrat(g),Serat(g),Protein(g),Sodium(mg),Vitamin C(mg),Vitamin A(IU),Asal
bir kotjok,"minuman tradisional khas Bogor, bir ini tidak mengandung alkohol tetapi kaya rempah","jahe merah, kayu manis, cengkeh, gula merah, dan gula aren.",minuman,"manis, pedas",120,30,0,30,1,1,50,10,60,"Bogor, Jawa Barat"
stmj,"campuran susu sapi murni, telur bebek atau telur ayam kampung, madu, dan jahe, biasanya juga ditambahkan kayu manis atau ginseng.","susu sapi murni, telur bebek atau telur ayam kampung, madu, dan jahe",minuman,"manis, pedas",150,10,7,15,1,6,50,10,70,"Malang, Jawa Timur"
es nona,"minuman tradisional khas pontianak bewarna merah muda dengan banyak komponen seperti kacang merah, tapai singkong, dll","kacang merah, potongan pepaya yang telah diawetkan dengan kapur, tapai singkong, pacar cina, dan potongan roti tawar.",minuman,manis,130,25,2,30,2,1,40,10,50,"Pontianak, Kalimantan Barat"
kawa daun,"minuman khas yang terbuat dari daun kopi kering, kemudian ditambahkan kayu manis, dan gula. Sekilas, minuman ini mirip teh, namun aroma dan rasa kopi cukup terasa.","daun kopi kering, kayu manis, gula",minuman,"manis, pahit",60,2,0,15,2,0,10,0,10,"Minangkabau, Sumatera Barat"
es jagung,"sesuai namanya, minuman ini berbahan dasar jagung dan menjadi minuman kesukaan masyarakat Palembang","jagung rebus, agar-agar atau nata de coco, santan dan es batu yang sudah di serut.",minuman,gurih,180,35,2,40,3,2,50,25,50,"Palembang, Sumatera Selatan"
godekh sagu,"sejenis minuman khas Kota Subulussalam, Kabupaten Aceh Selatan, Provinsi DI Aceh. Sekilas minuman ini mirip dengan biji salak asal Betawi atau candil asal Jawa Tengah. Yang menjadi pembedanya, minuman ini ditambahkan dengan rempah-rempah khas Aceh.","sagu, campuran santan dan gula merah",minuman,"manis, gurih",220,5,10,30,3,8,350,8,60,"Aceh, Aceh"
toge panyabungan,minuman manis yang biasanya ada pada saat bulan Ramadan. Minuman ini sering menjadi menu favorit untuk berbuka puasa masyarakat Mandailing.,"santan, gula merah, cendol, ketan, pulut hitam, pulut tape, candil, dan lupis.",minuman,"manis, gurih",150,4,3,20,2,6,200,5,50,"Medan, Sumatera Utara"
es lancang kuning,"minuman khas Riau yang terbuat dari bahan utama Mangga. Nama ""Lancang Kuning"" ini diambil dari logo Provinsi Riau berupa gambar perahu yang memiliki lancang berwarna kuning","mangga, nata de coco, es batu",minuman,manis,100,20,1,25,2,1,30,10,40,"Riau, Riau"
kopi luwak durian,"minuman khas Lampung yang terbilang unik, karena secangkir kopi luwak yang ini akan dicampur dengan buah durian yang sudah dibuang bijinya.","kopi luwak, buah duren, gula pasir",minuman,"manis, pahit",5,0,0,1,0,0,2,0,0,"Lampung, Lampung"
teh secang,"minuman khas Palembang yang dibuat dari serutan kayu secang. Bagi yang menyukai minuman manis, tentu bisa ditambahkan gula. Namun, ada opsi minuman ini bisa diminum tanpa gula seperti teh campa.","Serutan kayu secang, Cabai Jawa, kayu Manis, Cengkeh, Gula Batu",minuman,"manis, pedas",30,0,0,7,0,1,2,10,10,"Palembang, Sumatera Selatan"
ie seureubet,minuman hangat dari aneka rempah-rempah khas Aceh,"jahe, gula merah, gula pasir, cengkeh, kayu manis, daun pandan, lada",minuman,"manis, pedas",250,20,12,30,3,10,400,10,70,"Aceh, Aceh"
mutioro jagung manis,minuman yang menyegarkan berbahan dasar jagung dilengkapi dengan sagu mutiara,"pacar cina, jagung manis, kelapa muda, gula pasir, garam, daun pandan",minuman,"asin, manis, gurih",220,30,8,35,4,6,250,15,50,"Surakarta, Jawa Tengah"
angsle,"Angsle atau wedang angsle adalah minuman khas Jawa Timur yang menyerupai kolak. Penjual angsle tradisional dulu berkeliling kampung hanya pada malam hari, karena angsle yang hangat pas disajikan saat malam hari atau saat hujan.","pacar cina, kacang hijau, tape singkong, roti tawar, ketan putih, kacang tanah",minuman,"manis, gurih",200,20,10,30,3,5,300,10,60,"Jawa Timur, Jawa Timur"
es setup kolang kaling,"Es Setup Kolang kaling merupakan pilihan menu berbuka puasa yang memiliki cita rasa. Minuman ini berbahan dasar kolang kaling, buah yang berasal dari pohon aren. ","gula merah, cengkeh, kolang kaling, kayu manis, pisang kepok, daun pandan",minuman,manis,160,30,0,40,2,1,50,15,50,"Jakarta, DKI Jakarta"
sebuk kawo,minuman berbahan dasar kawo yakni tunas muda pohon kopi yang malah jadi gulma. Cara penyajian kawo sangat unik yakni menggunakan batok kelapa,"serbuk kawo, gula",minuman,manis,180,25,1,40,3,2,60,10,60,"Kerinci, Jambi"
teh tayu,"Masyarakat keturunan Tionghoa di Kecamatan Jebus Kabupaten Bangka Barat, memiliki tradisi minum teh yang diproduksi sendiri di wilayah tersebut, tepatnya di Dusun Tayu, Desa Ketap. Di daerah tersebut terdapat tanaman teh yang dibudidaya sebagai tanaman pagar oleh warga setempat. Walaupun umumnya tanaman teh tumbuh di dataran tinggi berhawa sejuk, namun ternyata di dataran rendah seperti di Dusun Tayu juga ada tanaman teh yang bisa tumbuh dengan baik.",teh tayu ,minuman,"pahit, manis",30,0,0,7,0,1,2,10,10,"Bangka Belitung, Bangka Belitung"
es sirup mak inang sayang,"Es Sirup Mak Inang Sayang, salahsatu minuman khas Riau yang terdiri dari buah-buahan. Biasanya menjadi menu berbuka puasa.","nanas, apel, selasih, agar-agar, sirup jeruk keprok",minuman,manis,150,30,2,35,2,1,50,15,50,"Riau, Riau"
kopi takar,"Kopi takar adalah kopi yang disajikan di dalam wadah tempurung atau batok kelapa yang dibentuk seperti cangkir dan tatakannya. Untuk menyeruput kopi ini, disediakan sebatang kayu manis yang digunakan seperti sedotan.","kopi mandailing, gula aren, kayu manis",minuman,"manis, pahit",5,0,0,1,0,0,2,0,0,"Sumatera Utara, Sumatera Utara"
es kelapa muda asam manis,"Minuman Es Kelapa Muda Asam Manis ini merupakan salah satu minuman khas Papua barat, minuman juga minuman yang kaya akan rasanya.","daging buah kelapa muda, biji selasih, air kelapa, jeruk nipis",minuman,gurih,120,20,2,30,2,1,50,25,50,"Papua Barat, Papua Barat"
es buah matoa,"Minuman ini memiliki nama yang unik, es buah ini terbuat dari campuran agar-agar hijau, kolang-kaling, cincau hitam, biji selasih, biji pala serta buah matoa. ","matoa, mangga manalagi, buah carica, madu, tape ketan, santan kental",minuman,"manis, gurih",130,28,1,32,3,2,40,25,50,"Papua, Papua"
minuman sarai,minuman hangat yang berbahan dasar batang serai,"sereh, jahe, gula batu",minuman,"manis, pedas",70,5,0,18,1,1,30,10,30,"Kalimantan Tengah, Kalimantan Tengah"
jenurai,"Minuman ini tidak hanya menyegarkan, tetapi juga memiliki cita rasa yang unik berkat kombinasi santan, gula, dan aroma pandan.","jenurai, santan, telur, gula pasir, daun pandan",minuman,"manis, gurih",150,25,2,30,3,1,40,10,50,"Kalimantan Barat, Kalimantan Barat"
es bilungka,Minuman ini terbuat dari timun suri yang dipotong-potong kecil yang di campur dengan kelapa dan ditambah dengan jelly membuat minuman ini nikmat juga segar.,"timun suri, kolang kaling, cincau hitam, kelapa muda, alpukat, sroberi, sirup coco pandan, kental manis",minuman,"manis, gurih",140,28,1,32,3,2,50,15,50,"Banjarmasin, Kalimantan Selatan"
es kelacin,"Es Kelacin atau Kelapa Cincau adalah salah satu minuman khas Sulawesi Barat merupakan minuman segar yang tidak jauh berbeda dengan resep minuman dari kelapa lainnya, hanya saja yang membedakan minuman ini yaitu adanya tambahan bahan yang digunakan yaitu cincau hitam.","kelapa muda, cincau hitam, gula merahm dan pandan, santan ",minuman,"manis, gurih",160,30,0,40,2,1,50,15,50,"Sulawesi Barat, Sulawesi Barat"
es brenebon,Brenebon dalam bahasa Gorontalo sebenarnya sebutan untuk kacang merah. Minuman ini biasa menjadi menu menyegarkan di bulan Ramadan.,"kacang merah, daun pandan, gula merah, kental manis rasa cokelat",minuman,manis,150,28,1,35,2,1,50,10,40,"Manado, Sulawesi Utara"
jus patikala,Minuman herbal asli Kolaka yang diolah dari buah patikala. Rasanya kecut tapi tidak pahit ataupun sepat. Minuman ini dipercaya dapat menurunkan kolesterol dan berat badan. Pengolahan jus ini pun tidak menggunakan campuran gula ataupun bahan lain kecuali air.,buah patikala,minuman,"manis, pahit",180,25,2,40,3,2,50,15,50,"Kolaka, Sulawesi Tenggara"
air guraka,minuman hangat berbahan dasar buah jahe merah khas Halmahera ,"jahe merah, buah kenari, daun pandan, gula aren",minuman,"manis, pedas",50,2,0,12,0,1,10,5,10,"Halmahera, Maluku Utara"
kopi dabe,Kopi Dabe adalah kopi khas masyarakat Tidore. Kata Dabe dalam bahasa Tidore berarti baku tambah atau menambahkan. Sesuai dengan namanya kopi ini bukan sekedar kopi karena ditambah dengan remah-rempah yang menambah nikmat kopi tersebut. ,"jahe, kayu manis, cengkeh, pala",minuman,pedas,5,0,0,1,0,0,2,0,0,"Maluku Utara, Maluku Utara"
es daluman,"Es Daluman adalah minuman khas Ubud, Bali, sejenis es cincau tetapi menggunakan bahan santan dari kelapa bakar. Dalam Bahasa Indonesia, daluman dikenal dengan nama cincau hijau","cincau hijau, kolang kaling, santan, gula aren",minuman,"manis, gurih",150,28,1,35,2,2,50,10,40,"Bali, Bali"
arak bali,minuman alkohol khas Bali yang dihasilkan dari proses fermentasi dan destilasi,"air nira kelapa, nira aren dan atau bahan baku lokal lainnya",minuman,pahit,250,10,0,30,0,0,200,0,0,"Bali, Bali"
sopi,"minuman alkohol tradisional yang populer di Maluku dan Nusa Tenggara Timur. Namanya sendiri berasal dari bahasa Belanda, zoopje, artinya alkohol cair. ",air nira kelapa,minuman,pahit,200,20,10,30,3,5,350,10,60,"Maluku, Nusa Tenggara Timur"
jus marungga,"Daun Marungga, lebih dikenal sebagai daun kelor memiliki banyak khasiatnya bagi kesehatan, karena mengandung vitamin dan mineral yang bisa menjadi obat yang efektif terhadap berbagai jenis penyakit.","daun marunnga, gula merah, susu",minuman,manis,160,30,0,40,3,1,50,15,50,"Nusa Tenggara Timur, Nusa Tenggara Timur"
mina sarua,minuman tradisional ini berupa racikan beberapa bahan dan rempah dengan khasiat yang sangat kaya,"Beras, Beras Ketan, Ragi, Kelapa, Jahe, Merica, Cabai Jawa atau Sabia dalam bahasa Mbojo, Kunyit, Gula merah",minuman,"manis, pedas, gurih",150,25,2,35,3,1,50,15,50,"Bima, Nusa Tenggara Barat"
es martebe,minuman ini berbahan dasar terong belanda yang memiliki rasa asam yang khas,"terong belanda, markisa, gula pasir, air",minuman,manis,180,28,1,35,3,1,50,10,60,"Medan, Sumatera Utara"
serbat kweni,Minuman segar dengan rasa kweni. Kweni adalah salah satu jenis mangga ada juga yang menyebutnya dengan mangga bacang.,"mangga kweni, gula pasir",minuman,manis,150,25,2,35,2,1,40,10,50,"Lampung, Lampung"
pokak saripu,"minuman herbal tradisional khas Madura, Jawa Timur yang terbuat dari rempah-rempah. Minuman ini cocok diminum saat musim hujan atau cuaca dingin untuk menghangatkan badan dan menjaga kesehatan","Gula merah, Merica bubuk, Pala bubuk, Kayu manis, Jahe, Serai.",minuman,"manis, pedas",200,30,0,40,3,2,50,10,60,"Madura, Jawa Timur"
es sekemu,Es Sekemu ini adalah minuman khas Banten yang bahan utamanya terdiri dari buah kelapa muda dan buah sawo yang pastinya sangat cocok untuk dinikmati saat siang hari. ,"kelapa muda, buah sawo, biji selasih, air kelapa",minuman,gurih,160,25,1,40,3,2,50,10,60,"Banten, Banten"
swansrai,"minuman beralkohol khas Papua memiliki rasa yang kuat, sedikit pahit, dan mengandung alkohol hingga 30%",cairan yang didapat dari mengiris mayang pohon kelapa,minuman,pahit,140,22,1,30,3,2,50,10,50,"Papua, Papua"
congyang,jamu kesehatan hasil fermentasi beras dan gula pasir ," beras putih, gula, spirit",minuman,manis,130,25,1,30,3,1,50,10,50,"Semarang, Jawa Tengah"
bir jawa,minumanan khas keraton yogyakarta yang terbuat dari rempah-rempah,"Jahe, Batang serai, Cengkih, Kayu manis, Masoi, Daun pandan, Gula, Air, Air jeruk nipis",minuman,"manis, pedas",150,28,0,35,2,1,60,15,60,"Yogyakarta, Yogyakarta"
cendol panas,minuman tradisional cendol yang disajikan dengan keadaan hangat,"cendol, gula aren, daun pandan, santen",minuman,manis,180,28,1,35,2,2,50,10,50,"Dataran Tinggi Sumatera Utara, Sumatera Utara"
es sekoteng medan,"Minuman dingin dan segar dengan cita rasa oriental yang terbuat dari air gula, rebusan jamur putih, dan rebusan jali-jali.","biji jali-jali, pacar cina, kolang kaling, manisan kundur, manisan kietna, jagung pipil, jeruk nipis, biji selasih, gula ",minuman,manis,120,25,1,30,2,1,50,10,60,"Medan, Sumatera Utara"
es lidah buaya,Minuman ini dibuat dari daun lidah buaya yang dicampur dengan air gula dan beberapa rempah-rempah seperti pandan dan daun jeruk purut.,"daun lidah buaya, gula merah, daun pandan, jeruk purut",minuman,manis,160,30,2,40,3,2,50,15,50,"Pontianak, Kalimantan Barat"
ce huan tiau,Minuman yang disebut juga es campur ala Pontianak. Minuman ini mirip cendol atau kolak karena menggunakan santan dan gula merah.,"ketan hitam, kacang merah, cincau, bongko, santan, gula merah cair dan dipadukan dengan sejenis cendol atau candil berbentuk panjang yang terbuat dari tepung.",minuman,"manis, gurih",200,28,2,40,3,3,50,10,60,"Pontianak, Kalimantan Barat"
wedang dayak,Minuman herbal berkhasiat khas dari Kalimantan. Menggunakan komoditi lokal yang Kalimantan banget. Di antaranya bawang dayak dan madu hutan.,rempah khas dan madu hutan,minuman,manis,180,25,1,35,2,1,50,10,60,"IKN, Kalimantan Utara"
kopi joss,kopi hitam khas yogyakarta yang disajikan dengan arang panas,"kopi, air, arang panas",minuman,pahit,5,0,0,1,0,0,2,0,0,"Yogyakarta, Yogyakarta"
es palu butung,"makanan khas Sulawesi Selatan yang terbuat dari pisang, bubur sumsum, dan saus santan. Es ini memiliki rasa manis dan lembut, serta tekstur yang lembut. Es palu butung sering disajikan sebagai takjil saat bulan puasa, namun juga bisa dinikmati di hari-hari biasa saat cuaca panas.","pisang rebus, bubur sumsum, saus santan, sirup cocopandan, kental manis",minuman,"manis, gurih",120,30,2,35,2,2,50,10,50,"Makassar, Sulawesi Selatan"
lahang bambu," Minuman yang disajikan dalam bambu yang dialiri air, sehingga memiliki rasa yang sedikit asam",getah pohon aren,minuman,"manis, pahit",210,6,10,35,3,6,250,10,70,"Kalimantan Selatan, Kalimantan Selatan"
sirup batumandi,"Sirup batumandi atau yang sering disebut sirbam merupakan sirup khas dari Kecamatan Batu Mandi, Kabupaten Balangan, Kalimantan Selatan. Sirbam diproduksi secara turun-temurun oleh masyarakat setempat.",gula,minuman,manis,160,25,1,40,3,1,50,10,60,"Kalimantan Selatan, Kalimantan Selatan"
baram,"minuman alkohol khas suku dayak sebagai simbol kebersamaan, penghormatan kepada leluhur, dan penyambutan tamu"," beras ketan yang difermentasi dengan ragi, nila, dan enau",minuman,pahit,250,20,10,35,3,6,350,10,70,"Kalimantan, Kalimantan"
es kuwut ,"sejenis minuman koktail dingin khas Bali yang terbuat dari air kelapa yang dicampur dengan serutan kelapa, serutan melon atau timun, biji selasih, perasan jeruk nipis, sirup melon, es batu ","serutan kelapa, serutan melon atau timun, biji selasih, perasan jeruk nipis, sirup melon, es batu dan terkadang ditambahkan susu, santan, atau nata de coco",minuman,"manis, gurih",80,12,1,15,0,0,10,20,50,"Bali, Bali"
cao menek,"minuman yang berasal dari suku Osing, terbuat dari sirup daun cincau dan kacang bawang goreng","Daun cincau, sirup, kacang bawang goreng",minuman,manis,200,15,5,35,2,5,300,10,60,"Banyuwangi, Jawa Timur"
kopi arabika kintamani,Jenis kopi di Indonesia yang satu ini memiliki karakteristik rasa yang unik dengan perpaduan rasa pahit dengan sedikit sentuhan citrus.,biji kopi arabika kintamani,minuman,pahit,5,0,0,1,0,0,2,0,0,"Kintamani, Bali"
kopi arabika flores bajawa,"Jenis kopi yang satu ini ditanam di ketinggian 1.000-1.550 meter di atas permukaan laut. Soal karakter rasa, kopi Flores Bajawa ini memiliki rasa kacang-kacangan dengan sedikit sentuhan karamel.",biji kopi arabika flores bajawa,minuman,pahit,5,0,0,1,0,0,2,0,0,"Flores, Nusa Tenggara Timur"
kopi robusta lampung,Kopi Robusta Lampung juga merupakan salah satu jenis kopi di Indonesia yang memiliki karakteristik yang kuat dan mudah dirawat.,biji kopi arabika lampung,minuman,pahit,5,0,0,1,0,0,2,0,0,"Lampung, Lampung"
kopi liberika riau,"Kopi Liberika Riau ini bisa dibilang menjadi salah satu kopi yang cukup langka yang diproduksi di Meranti, Riau. Kalau diperhatikan, kopi yang satu ini punya aroma seperti cokelat, tapi bisa memberikan sensasi rasa buah nangka",biji kopi liberika riau,minuman,pahit,5,0,0,1,0,0,2,0,0,"Riau, Riau"
